livro,"Junie B., First Grader: Turkeys We Have Loved and Eaten (and Other Thankful Stuff) (Junie B. Jones) (A Stepping Stone Book(TM))",9.78038E+12,,,,,,,,,,,,,,,,,,,,
livro,Miss Julia Speaks Her Mind: A Novel,9.78069E+12,,,,,,,,,,,,,,,,,,,,
livro,"Alfred's Basic Piano Library: Prep Course for The Young Beginner Solo Book, Level B",9.78074E+12,Willard Palmer,Morton Manus,Amanda Vick Lethco,,,,,,,,,,,,,,,,,
livro,The Story of B,9.78055E+12,,,,,,,,,,,,,,,,,,,,
livro,"The S.T.A.B.L.E. Program, Learner/ Provider Manual: Post-Resuscitation/ Pre-Transport Stabilization Care of Sick Infants- Guidelines for Neonatal Heal ... / Post-Resuscition Stabilization)",9.78194E+12,,,,,,,,,,,,,,,,,,,,
livro,Plan B: What Do You Do When God Doesn't Show Up the Way You Thought He Would?,9.78085E+12,,,,,,,,,,,,,,,,,,,,
livro,Junie B.'s These Puzzles Hurt My Brain! Book (Junie B. Jones) (A Stepping Stone Book(TM)),9.78038E+12,,,,,,,,,,,,,,,,,,,,
livro,Junie B.'s Books in a Bus! (Books 1-27!),9.78031E+12,,,,,,,,,,,,,,,,,,,,
livro,Bun B's Rapper Coloring and Activity Book,9.78142E+12,,,,,,,,,,,,,,,,,,,,
livro,SPELLING WORKOUT LEVEL B PUPIL EDITION,9.78077E+12,,,,,,,,,,,,,,,,,,,,
livro,"Junie B. Jones Is Captain Field Day (Junie B. Jones, No. 16)",9.78038E+12,,,,,,,,,,,,,,,,,,,,
livro,"Blood Type B Food, Beverage and Supplemental Lists",9.78043E+12,,,,,,,,,,,,,,,,,,,,
livro,"Junie B., First Grader: Boo...and I Mean It! (Junie B. Jones, No. 24)",9.78038E+12,,,,,,,,,,,,,,,,,,,,
livro,The C Programming Language,9.78013E+12,Brian W. Kernighan,Dennis M. Ritchie,,,,,,,,,,,,,,,,,,
livro,C Programming Absolute Beginner's Guide (3rd Edition),9.78079E+12,Greg Perry,Dean Miller,,,,,,,,,,,,,,,,,,
livro,Programming in C (4th Edition) (Developer's Library),9.78032E+12,,,,,,,,,,,,,,,,,,,,
livro,C,9.78031E+12,,,,,,,,,,,,,,,,,,,,
livro,Expert C Programming: Deep C Secrets,9.78013E+12,,,,,,,,,,,,,,,,,,,,
livro,C Primer Plus (6th Edition) (Developer's Library),9.78032E+12,,,,,,,,,,,,,,,,,,,,
livro,"C Programming: A Modern Approach, 2nd Edition",9.78039E+12,,,,,,,,,,,,,,,,,,,,
livro,21st Century C: C Tips from the New School,9.78149E+12,,,,,,,,,,,,,,,,,,,,
livro,C All-in-One Desk Reference For Dummies,9.78076E+12,,,,,,,,,,,,,,,,,,,,
livro,"C Programming Success in a Day: Beginners' Guide To Fast, Easy And Efficient Learning Of C Programming",9.78151E+12,,,,,,,,,,,,,,,,,,,,
livro,Programming in C (3rd Edition),9.78067E+12,,,,,,,,,,,,,,,,,,,,
livro,Understanding and Using C Pointers,9.78145E+12,,,,,,,,,,,,,,,,,,,,
livro,C Pocket Reference,9.7806E+12,Peter Prinz,Ulla Kirch-Prinz,,,,,,,,,,,,,,,,,,
livro,The Problem of Pain,9.78006E+12,,,,,,,,,,,,,,,,,,,,
livro,Head First C,9.78145E+12,David Griffiths,Dawn Griffiths,,,,,,,,,,,,,,,,,,
livro,The C Programming Language,9.78812E+12,Brian W. Kernighan,Dennis M. Ritchie,,,,,,,,,,,,,,,,,,
livro,C Primer Plus (5th Edition),9.78067E+12,,,,,,,,,,,,,,,,,,,,
livro,"The C++ Programming Language, 4th Edition",9.78032E+12,,,,,,,,,,,,,,,,,,,,
livro,Shots Fired: Stories from Joe Pickett Country,9.78043E+12,,,,,,,,,,,,,,,,,,,,
livro,Mere Christianity,9.78006E+12,,,,,,,,,,,,,,,,,,,,
livro,"The C Answer Book: Solutions to the Exercises in 'The C Programming Language,' Second Edition",9.78013E+12,Clovis L. Tondo,Scott E. Gimpel,,,,,,,,,,,,,,,,,,
livro,The Other Side of Envy (The Academy) (Volume 8),9.78151E+12,,,,,,,,,,,,,,,,,,,,
livro,Lamentation (The Shardlake Series),9.78145E+12,,,,,,,,,,,,,,,,,,,,
livro,The Great Divorce,9.78006E+12,,,,,,,,,,,,,,,,,,,,
livro,The Screwtape Letters,9.78006E+12,,,,,,,,,,,,,,,,,,,,
livro,C in a Nutshell (In a Nutshell (O'Reilly)),9.7806E+12,Peter Prinz,Tony Crawford,,,,,,,,,,,,,,,,,,
